t,ax,ay,az,gx,gy,gz
1.8264505863189697,0.04,0.186,0.4539,0.6005,-1.0959,-3.617
1.8264505863189697,0.0531,0.2457,0.5672,0.9404,-1.8545,-2.7653
1.8264505863189697,0.0619,0.2902,0.6523,1.2128,-2.3883,-2.1615
1.8264505863189697,0.0682,0.3226,0.7151,1.4871,-2.8588,-1.7786
1.8264505863189697,0.075,0.3481,0.7639,1.6578,-3.1591,-1.4389
1.8264505863189697,0.0782,0.3658,0.8018,2.1709,-3.2618,-1.2367
1.8264505863189697,0.0904,0.4329,0.8078,-2.6419,-5.0013,-1.47
1.8264505863189697,0.0373,0.3617,0.8528,-14.5989,-69.096,28.8575
1.8264505863189697,0.015,0.4749,1.2408,-51.3567,-127.667,48.4881
1.8274705410003662,0.1217,0.2214,1.0256,-77.3325,-185.4378,75.5486
1.8274705410003662,0.264,0.2334,0.6258,-87.2944,-158.1883,40.0189
1.8274705410003662,0.4041,0.0349,0.4441,-98.1083,-144.3312,38.3442
1.8274705410003662,0.5299,-0.0743,0.3033,-74.8762,-129.4059,34.4981
1.8274705410003662,0.5888,-0.1468,0.1068,-51.1522,-106.0144,15.9686
1.8274705410003662,0.6062,-0.1849,-0.0349,-28.5816,-117.9758,24.804
1.8274705410003662,0.5358,-0.2865,-0.1765,-12.3362,-64.8394,-1.627
2.2352919578552246,0.559,-0.4317,-0.2626,-10.2147,-110.6845,68.0272
2.2352919578552246,0.6169,-0.3294,-0.2285,10.3465,-65.5309,42.8304
2.2352919578552246,0.6236,-0.4431,-0.3707,-15.3751,-51.7907,31.3178
2.679231882095337,0.6702,-0.3658,-0.2917,-38.2888,-25.508,16.5059
2.679231882095337,0.691,-0.3314,-0.3906,-28.2091,6.559,-3.0031
2.679231882095337,0.6891,-0.1614,-0.3893,23.1182,51.6792,-16.6898
2.679231882095337,0.723,0.2244,0.0079,20.8211,31.6194,39.7026
2.679231882095337,0.6925,0.008,0.0536,10.1033,-42.7679,94.4045
3.1927225589752197,0.6632,-0.4616,-0.2956,5.8975,-39.0934,67.8984
3.1927225589752197,0.4525,-0.1502,-0.2748,33.0531,65.3199,-43.0162
3.1927225589752197,0.3361,-0.2701,-0.5805,29.9348,-7.2726,99.6878
3.1927225589752197,0.2506,-0.5458,-0.6083,26.2836,-58.4444,158.4684
3.8332951068878174,0.1342,-1.0863,-0.6425,-0.3423,-38.0933,81.1738
3.8332951068878174,-0.0188,-1.0304,-0.5436,-54.2092,29.565,-37.7847
3.8332951068878174,0.1605,-0.2702,-0.1947,-59.8544,104.6513,-73.751
3.833794355392456,0.1135,0.2508,0.7259,-47.6733,4.6909,-58.7083
3.833794355392456,-0.2449,-0.0704,-0.4186,-11.71,-105.2793,-34.4412
3.833794355392456,-0.5705,-0.0601,-0.6757,-25.11,90.668,-109.1659
3.833794355392456,-0.4284,0.1867,1.1222,-46.36,-24.504,3.4556
4.167266368865967,-0.7959,-0.1181,0.2422,-53.8975,-192.923,82.1992
4.167266368865967,-0.8949,-0.0552,-0.183,-89.3181,81.8628,-36.6131
4.167266368865967,-1.9139,-0.3126,-0.5328,-68.6511,-293.3979,100.2027
6.0125532150268555,-2.427,-0.648,-0.6655,-29.3333,-12.936,-127.988
6.0125532150268555,-1.7113,0.3449,1.1087,-37.155,16.5655,-41.0585
6.0125532150268555,-2.067,-0.2043,0.4406,-2.9987,-170.8708,93.8061
6.0125532150268555,-2.0109,-0.1444,0.2456,-31.4916,41.4569,-74.8254
6.0130531787872314,-2.0432,-0.086,0.4329,-25.7012,-244.0948,61.7435
6.0130531787872314,-2.2739,-1.2771,-1.3077,-2.5284,38.3914,-80.8124
6.0130531787872314,-1.9407,-0.3263,0.4926,-88.2763,229.7985,-73.8043
6.0130531787872314,-2.288,-0.642,0.0567,-21.0047,-68.8011,76.3343
6.0130531787872314,-2.3701,-0.4317,-0.0192,-78.0535,164.5417,-102.1743
6.013344049453735,-1.6953,-0.2104,0.748,-100.9951,13.9613,-32.7582
6.013344049453735,-1.5376,-0.2479,-0.2775,-130.2414,-146.5391,-66.4637
6.013344049453735,-1.0975,0.0509,-0.3,-173.1235,13.6457,-24.1228
6.013344049453735,-0.6574,0.3383,-0.2543,-126.5176,7.4168,-66.7246
6.013843774795532,-0.1811,-0.0674,-0.3185,-125.3032,-36.9624,-61.7509
6.013843774795532,0.0392,-0.5681,-0.3063,-179.4649,-17.5543,-105.7782
6.013843774795532,-0.0943,0.0374,-0.5013,-175.8462,-14.7757,-107.0186
6.013843774795532,-0.1714,0.5424,-0.3971,-149.9271,17.7057,40.976
6.013843774795532,0.0386,0.2691,-0.4297,-77.4279,-3.1182,121.3995
6.372201442718506,0.2473,0.2698,-0.2682,-61.1159,-10.0912,86.7971
6.372201442718506,0.3767,0.2569,-0.382,-39.3269,-4.9959,84.2429
6.372201442718506,0.5037,0.2242,-0.4811,-24.8052,2.5006,73.0696
6.372201442718506,0.5894,0.2873,-0.3641,-42.4389,-22.3271,34.5022
6.703157186508179,0.6254,0.2929,-0.4329,-33.2117,-19.5103,71.9542
6.703157186508179,0.6693,0.2337,-0.5422,-3.9612,-40.1477,112.6256
6.703157186508179,0.7539,0.0784,-0.4134,40.2366,9.3342,77.5567
7.376718759536743,0.7872,-0.2823,-0.3765,54.3974,-10.7268,18.7575
7.376718759536743,0.8109,-0.166,-0.3189,49.9681,19.4649,-25.0443
7.376718759536743,0.7933,-0.0441,-0.0885,52.4035,16.8387,-6.0608
7.377716779708862,0.8283,-0.1962,-0.1091,32.8802,-17.0685,-39.7381
7.377716779708862,0.6175,0.0764,-0.1129,65.0501,-146.2039,-115.2036
7.377716779708862,0.4974,0.1398,-0.6874,71.6601,-64.6954,-37.5777
7.87354588508606,0.4348,0.224,-0.3831,37.2776,39.2409,38.2468
7.87354588508606,0.5396,0.0659,-0.3534,23.2332,18.0382,11.0101
7.87354588508606,0.6194,-0.0024,-0.3584,4.9824,-15.1188,42.7325
7.87354588508606,0.6435,-0.1353,-0.4814,30.6693,15.3134,75.8344
7.87354588508606,0.7274,-0.4111,-0.4018,38.5595,29.4925,42.0358
8.21243667602539,0.7026,-0.264,-0.3206,19.0321,-5.7231,-1.2506
8.21243667602539,0.7986,-0.2539,-0.3771,21.6066,22.6927,-31.6155
8.21243667602539,0.8593,0.0548,-0.2714,12.3899,8.9695,-53.7941
8.213521957397461,0.8092,0.1187,-0.2096,26.6174,-0.0629,22.2694
8.70729660987854,0.8183,-0.1017,-0.1227,9.2006,-0.7997,-27.6254
8.70729660987854,0.8404,0.1681,-0.1739,6.5504,-62.4097,-79.2566
8.70729660987854,0.799,0.3857,-0.3908,-14.0572,-7.9398,-3.6699
8.70729660987854,0.4417,-0.0018,0.1576,-20.5004,91.4676,99.4826
9.128012418746948,0.1867,-0.3971,-0.0761,-13.1878,-96.8268,-44.8431
9.128012418746948,-0.1257,0.3424,-0.3179,18.1617,-224.6426,-105.2948
9.128012418746948,-0.0909,0.1605,-0.5818,27.8837,-52.0194,-58.4261
9.128012418746948,-0.0363,-0.0421,-0.4303,11.3578,-74.7321,-92.4346
9.607229232788086,-0.308,0.2707,-1.2143,38.4084,-15.2566,-8.0759
9.607229232788086,-0.6445,0.1401,-0.8139,-2.2212,213.9051,129.6555
9.607229232788086,-0.6383,-0.7532,0.7662,18.2316,66.5588,-19.5358
9.607229232788086,-2.0477,-0.155,0.2436,36.0912,-261.5109,-272.6719
9.607229232788086,-2.3362,-0.3053,-0.4584,59.3559,33.3793,-203.2614
10.114006519317627,-2.1779,-0.3397,-0.1544,-4.7281,237.852,-7.9661
10.114006519317627,-1.7883,-0.5028,0.762,1.4764,44.8465,-128.8945
10.114006519317627,-2.059,0.1874,0.1701,42.3548,-207.3926,-247.2934
10.114006519317627,-2.1029,0.1783,-0.5327,46.9211,62.6455,-204.7026
10.114006519317627,-1.7521,0.1184,-0.1005,17.3933,201.2642,-34.4219
10.44473147392273,-1.2714,-0.354,0.4929,-15.795,130.2631,-11.1164
10.44485092163086,-1.3586,-0.2877,0.1744,-16.6412,-131.1852,-131.2223
10.44485092163086,-1.2454,-0.1785,-0.1358,15.9741,-226.4889,-93.8842
10.906821012496948,-1.3429,-0.1247,-0.898,-21.462,-121.2691,-0.7807
10.906821012496948,-1.6224,-0.1161,-0.7872,-87.129,93.7081,-114.2655
10.906821012496948,-1.3606,0.0348,-0.4013,-91.9642,206.7986,2.4134
10.906821012496948,-1.1018,-0.3165,-0.1858,-93.1407,192.059,129.0
11.314345359802246,-0.9276,-0.5944,0.0684,-179.8255,29.1042,-18.4
11.314345359802246,-1.3476,-0.5045,-0.1185,-137.0916,-214.5268,-95.7875
11.314345359802246,-1.5056,-0.299,-0.8344,-125.7962,-129.4301,-20.6356
11.314345359802246,-1.511,-0.5801,-0.6386,-120.8597,7.3674,-106.6517
11.315343379974365,-1.7466,-0.2764,-0.5797,-171.6873,212.2706,74.7112
11.78976321220398,-1.7066,-0.7119,0.0161,-179.0954,249.4504,215.5109
11.79026460647583,-1.6192,-0.8121,0.3334,-237.2391,16.1828,9.3832
11.79026460647583,-1.8991,-0.5249,0.1395,-137.1718,-255.5079,-53.2151
11.79026460647583,-2.0298,-0.5716,-0.8312,-108.7064,-136.6634,3.4362
12.255372047424316,-2.2276,-0.229,-0.7345,-118.1748,73.8149,-117.2979
12.255372047424316,-1.8837,-0.105,-0.6233,-128.4961,200.9787,-3.6934
12.255372047424316,-1.8235,-0.4899,0.0447,-161.8571,271.7815,140.0125
12.255372047424316,-2.095,-0.5553,0.4126,-186.8078,-17.9413,-134.9682
12.684437274932861,-2.8188,-0.0336,-0.5544,-82.0759,-316.9935,-26.4836
12.684437274932861,-2.7591,-0.3973,-0.4354,-111.1344,-58.4402,-116.5502
12.684437274932861,-2.4329,0.0354,-0.4031,-175.2608,111.0624,-16.3627
12.684437274932861,-1.8916,0.0357,-0.0237,-164.7481,185.7243,116.9655
13.176132440567017,-1.3076,-0.6165,0.3263,-138.6811,153.3282,100.2541
13.176132440567017,-1.0463,-0.658,0.3175,-112.6208,-12.7713,-45.9094
13.176132440567017,-1.139,-0.112,-0.4224,-26.7856,-185.506,33.3104
13.176132440567017,-1.0201,-0.2634,-0.6203,-14.6467,-30.5245,-38.6997
13.176132440567017,-0.6017,-0.1832,-0.4627,-28.31,28.5391,7.0953
13.663495779037476,-0.5369,-0.3028,-0.24,10.565,-71.0132,-107.9211
13.663495779037476,-0.7874,-0.0131,-1.0922,40.5437,-112.0774,2.3592
13.663495779037476,-1.0683,0.1435,-1.1812,34.0128,110.542,-86.8156
13.663495779037476,-1.1351,-0.1344,-0.557,-17.6279,265.204,51.7533
13.663495779037476,-1.0441,-0.9005,0.2974,-4.3659,176.223,-35.805
14.111658811569214,-1.6837,-0.6632,0.2388,58.3081,-129.9478,-185.5963
14.111658811569214,-1.75,-0.7047,-0.8405,74.4435,-129.2408,-30.2422
14.111658811569214,-1.7882,-0.2423,-0.8867,31.1577,93.5044,-36.1741
14.111658811569214,-1.2201,-0.1199,-0.5109,25.4857,137.2758,26.3669
14.111658811569214,-0.7885,-0.4439,-0.3307,46.6418,127.9643,82.4952
14.837188720703125,-0.5006,-0.5861,-0.1385,48.4739,150.6783,69.9914
14.837188720703125,-0.3448,-0.6798,0.2507,45.5254,132.3287,87.1085
14.837188720703125,-0.2392,-0.6492,0.3284,35.6665,62.759,50.4214
14.837188720703125,-0.2946,-0.7423,0.727,-1.4076,-28.2157,-1.6989
14.837188720703125,-0.7269,-0.3854,0.2673,-4.1707,-251.0418,69.8283
14.837188720703125,-0.763,-0.7332,-0.2757,17.382,-178.3064,25.0887
15.216091632843018,-0.5604,-0.624,-0.1822,6.789,-78.1323,24.469
15.216091632843018,-0.3943,-0.7586,-0.3852,13.7717,-67.6467,29.3418
15.216091632843018,-0.2643,-0.8049,-0.4252,13.3738,-57.0875,25.7163
15.216091632843018,-0.1641,-0.795,-0.4171,8.6654,-44.7756,18.3073
15.540998458862305,-0.1502,-0.7997,-0.4726,9.054,-46.2692,44.4429
15.540998458862305,-0.1583,-0.8163,-0.4684,4.883,-23.6419,44.4622
15.540998458862305,-0.1566,-0.804,-0.505,-0.9577,-13.6364,31.3692
16.133054733276367,-0.1558,-0.8303,-0.5334,3.9717,-3.2623,26.9394
16.133054733276367,-0.1446,-0.8155,-0.5016,7.1438,15.4557,29.812
16.133054733276367,-0.1343,-0.8279,-0.4727,7.1428,12.1868,18.614
16.133054733276367,-0.1331,-0.8514,-0.5168,8.9271,16.2801,16.498
16.133054733276367,-0.1219,-0.8336,-0.5107,12.4178,23.3051,23.346
16.57507038116455,-0.1234,-0.884,-0.4934,20.6884,27.5938,29.637
16.57507038116455,-0.1467,-0.9017,-0.4669,24.6163,31.8954,41.2153
16.57507038116455,-0.1597,-0.8682,-0.4679,33.3372,33.8615,38.7864
16.57507038116455,-0.1869,-0.888,-0.421,34.9254,39.1161,33.1498
16.57507038116455,-0.202,-0.9388,-0.3648,33.7191,33.4846,31.5474
17.03766393661499,-0.213,-0.9959,-0.2915,26.4793,10.7285,16.0305
17.03766393661499,-0.2222,-1.0102,-0.2706,35.6445,-20.5487,3.6054
17.03766393661499,-0.2401,-1.0236,-0.2104,42.5184,-55.819,-14.901
17.03766393661499,-0.2065,-1.0654,-0.1759,35.5288,-48.1642,-21.4657
17.03766393661499,-0.1489,-1.0334,-0.112,23.0941,-27.4782,-14.8043
17.476577043533325,-0.1288,-1.0055,-0.1265,18.1956,-8.6561,-3.2807
17.476577043533325,-0.1521,-1.0105,-0.1103,16.4467,7.7529,12.4145
17.476577043533325,-0.1852,-0.9805,-0.0509,14.155,12.0797,22.8908
18.019469261169434,-0.2622,-0.9886,0.0126,7.2562,13.0498,54.4781
18.019469261169434,-0.3288,-0.9713,0.0236,3.4472,13.4798,32.9836
18.019469261169434,-0.3627,-0.9622,0.1455,26.0179,-17.8026,3.7202
18.019469261169434,-0.2106,-0.7128,0.5274,-7.9091,-5.617,-0.6573
18.019469261169434,-0.1507,-0.7746,0.5579,28.8932,-19.3152,-7.7905
18.019469261169434,-0.1177,-0.7493,0.6231,27.4974,-17.8289,-6.7354
18.470014572143555,-0.0989,-0.7441,0.6517,17.2455,-13.2142,-4.544
18.470014572143555,-0.0882,-0.745,0.6649,14.9642,-11.3281,-3.7405
18.470014572143555,-0.077,-0.7405,0.6821,11.6956,-9.5811,-2.9104
18.470014572143555,-0.0701,-0.7397,0.6922,8.8242,-8.2183,-2.2878
18.939085721969604,-0.064,-0.7378,0.7007,7.5807,-7.3712,-1.9958
18.939085721969604,-0.0588,-0.7363,0.7073,6.1055,-6.5259,-1.5669
18.939085721969604,-0.0548,-0.735,0.7124,5.1391,-6.0145,-1.3152
18.939085721969604,-0.0523,-0.7345,0.7157,4.4668,-5.5608,-1.0739
19.6399827003479,-0.0517,-0.7338,0.7194,4.1901,-5.0106,-1.1904
19.6399827003479,-0.0488,-0.7328,0.7209,3.7376,-4.773,-0.9803
19.6399827003479,-0.05,-0.7308,0.7184,1.7357,-4.5422,-0.5952
19.6399827003479,-0.0453,-0.7091,0.7187,7.5843,-4.2642,-1.2514
19.6399827003479,-0.0435,-0.7124,0.7236,5.8982,-4.1956,-1.0086
19.6399827003479,-0.0413,-0.7168,0.7243,7.4512,-4.8267,-0.5114
19.6399827003479,-0.0418,-0.7202,0.7238,5.9209,-4.5475,-0.4886
20.234124898910522,-0.0416,-0.7218,0.7258,5.0006,-4.4607,-0.5239
20.234124898910522,-0.0418,-0.7221,0.7276,4.398,-4.308,-0.5679
20.234124898910522,-0.0427,-0.7217,0.73,4.8385,-4.456,-0.461
20.234124898910522,-0.0417,-0.7226,0.7311,3.7689,-4.182,-0.4332
20.234124898910522,-0.0422,-0.7229,0.7314,3.5617,-4.2215,-0.4474
20.234124898910522,-0.0425,-0.723,0.732,3.0912,-4.1811,-0.4231
